Time: 12:01:25.164713| DEBUG    | func: 9| mode: 1| size: 12| data: update (27s)
Time: 12:01:25.258414| LOG      | [INFO]: received: update (27s)
Time: 12:01:25.266771| DEBUG    | func: 6| mode: 1| size: 4| data: -118.8
Time: 12:01:25.359536| SENSOR   | Yaw value received: -118.8
Time: 12:01:25.361566| SYSTEM   | Changed compass orientation
Time: 12:01:25.673985| DEBUG    | func: 9| mode: 1| size: 12| data: update (28s)
Time: 12:01:25.765181| LOG      | [INFO]: received: update (28s)
Time: 12:01:25.777247| DEBUG    | func: 6| mode: 1| size: 4| data: -118.8
Time: 12:01:25.866491| SENSOR   | Yaw value received: -118.8
Time: 12:01:25.869103| SYSTEM   | Changed compass orientation
Time: 12:01:26.185030| DEBUG    | func: 9| mode: 1| size: 12| data: update (28s)
Time: 12:01:26.272244| LOG      | [INFO]: received: update (28s)
Time: 12:01:26.287816| DEBUG    | func: 6| mode: 1| size: 4| data: -117.2
Time: 12:01:26.373287| SENSOR   | Yaw value received: -117.2
Time: 12:01:26.375311| SYSTEM   | Changed compass orientation
Time: 12:01:26.695034| DEBUG    | func: 9| mode: 1| size: 12| data: update (29s)
Time: 12:01:26.778953| LOG      | [INFO]: received: update (29s)
Time: 12:01:26.798402| DEBUG    | func: 6| mode: 1| size: 4| data: -117.2
Time: 12:01:26.879958| SENSOR   | Yaw value received: -117.2
Time: 12:01:26.881983| SYSTEM   | Changed compass orientation
Time: 12:01:27.203644| DEBUG    | func: 9| mode: 1| size: 12| data: update (29s)
Time: 12:01:27.285391| LOG      | [INFO]: received: update (29s)
Time: 12:01:27.308123| DEBUG    | func: 6| mode: 1| size: 4| data: -119.7
Time: 12:01:27.386426| SENSOR   | Yaw value received: -119.7
Time: 12:01:27.389014| SYSTEM   | Changed compass orientation
Time: 12:01:27.714283| DEBUG    | func: 9| mode: 1| size: 12| data: update (30s)
Time: 12:01:27.791872| LOG      | [INFO]: received: update (30s)
Time: 12:01:27.817153| DEBUG    | func: 6| mode: 1| size: 4| data: -119.7
Time: 12:01:27.893779| SENSOR   | Yaw value received: -119.7
Time: 12:01:27.896429| SYSTEM   | Changed compass orientation
Time: 12:01:28.222694| DEBUG    | func: 9| mode: 1| size: 12| data: update (30s)
Time: 12:01:28.299266| LOG      | [INFO]: received: update (30s)
Time: 12:01:28.325652| DEBUG    | func: 6| mode: 1| size: 4| data: -119.7
Time: 12:01:28.400244| SENSOR   | Yaw value received: -119.7
Time: 12:01:28.403261| SYSTEM   | Changed compass orientation
Time: 12:01:28.739162| DEBUG    | func: 9| mode: 1| size: 12| data: update (31s)
Time: 12:01:28.805793| LOG      | [INFO]: received: update (31s)
Time: 12:01:28.841233| DEBUG    | func: 6| mode: 1| size: 4| data: -119.7
Time: 12:01:28.906830| SENSOR   | Yaw value received: -119.7
Time: 12:01:28.908854| SYSTEM   | Changed compass orientation
Time: 12:01:29.259877| DEBUG    | func: 9| mode: 1| size: 12| data: update (31s)
Time: 12:01:29.312475| LOG      | [INFO]: received: update (31s)
Time: 12:01:29.363076| DEBUG    | func: 6| mode: 1| size: 4| data: -120.1
Time: 12:01:29.412963| SENSOR   | Yaw value received: -120.1
Time: 12:01:29.415964| SYSTEM   | Changed compass orientation
Time: 12:01:29.870786| DEBUG    | func: 9| mode: 1| size: 12| data: update (32s)
Time: 12:01:29.920140| LOG      | [INFO]: received: update (32s)
Time: 12:01:29.973990| DEBUG    | func: 6| mode: 1| size: 4| data: -120.1
Time: 12:01:30.021120| SENSOR   | Yaw value received: -120.1
Time: 12:01:30.024146| SYSTEM   | Changed compass orientation
Time: 12:01:30.380970| DEBUG    | func: 9| mode: 1| size: 12| data: update (32s)
Time: 12:01:30.427134| LOG      | [INFO]: received: update (32s)
Time: 12:01:30.482976| DEBUG    | func: 6| mode: 1| size: 4| data: -120.1
Time: 12:01:30.528107| SENSOR   | Yaw value received: -120.1
Time: 12:01:30.531129| SYSTEM   | Changed compass orientation
Time: 12:01:30.889955| DEBUG    | func: 9| mode: 1| size: 12| data: update (33s)
Time: 12:01:30.934819| LOG      | [INFO]: received: update (33s)
Time: 12:01:30.993146| DEBUG    | func: 6| mode: 1| size: 4| data: -120.1
Time: 12:01:31.035544| SENSOR   | Yaw value received: -120.1
Time: 12:01:31.037564| SYSTEM   | Changed compass orientation
Time: 12:01:31.398954| DEBUG    | func: 9| mode: 1| size: 12| data: update (33s)
Time: 12:01:31.440577| LOG      | [INFO]: received: update (33s)
Time: 12:01:31.502635| DEBUG    | func: 6| mode: 1| size: 4| data: -120.2
Time: 12:01:31.542079| SENSOR   | Yaw value received: -120.2
Time: 12:01:31.544723| SYSTEM   | Changed compass orientation
Time: 12:01:31.911075| DEBUG    | func: 9| mode: 1| size: 12| data: update (34s)
Time: 12:01:31.947495| LOG      | [INFO]: received: update (34s)
Time: 12:01:32.013928| DEBUG    | func: 6| mode: 1| size: 4| data: -120.2
Time: 12:01:32.048492| SENSOR   | Yaw value received: -120.2
Time: 12:01:32.051515| SYSTEM   | Changed compass orientation
Time: 12:01:32.417491| DEBUG    | func: 9| mode: 1| size: 12| data: update (34s)
Time: 12:01:32.454965| LOG      | [INFO]: received: update (34s)
Time: 12:01:32.521101| DEBUG    | func: 6| mode: 1| size: 4| data: -120.2
Time: 12:01:32.555976| SENSOR   | Yaw value received: -120.2
Time: 12:01:32.558000| SYSTEM   | Changed compass orientation
Time: 12:01:32.928992| DEBUG    | func: 9| mode: 1| size: 12| data: update (35s)
Time: 12:01:32.961754| LOG      | [INFO]: received: update (35s)
Time: 12:01:33.030642| DEBUG    | func: 6| mode: 1| size: 4| data: -120.2
